year,district,building_type,count,proportion
2023,松山區,其他,274,0.1625
2023,松山區,華廈,344,0.204
2023,松山區,透天厝,26,0.0154
2023,萬華區,住宅大樓,700,0.4149
2023,萬華區,公寓,485,0.2875
2023,萬華區,其他,188,0.1114
2023,萬華區,華廈,230,0.1363
2023,萬華區,透天厝,84,0.0498
2024,中山區,住宅大樓,1912,0.5169
2024,中山區,公寓,490,0.1325
2024,中山區,其他,315,0.0852
2024,中山區,華廈,953,0.2576
2024,中山區,透天厝,29,0.0078
2024,中正區,住宅大樓,599,0.3938
2024,中正區,公寓,285,0.1874
2024,中正區,其他,158,0.1039
2024,中正區,華廈,434,0.2853
2024,中正區,透天厝,45,0.0296
2024,信義區,住宅大樓,623,0.2937
2024,信義區,公寓,623,0.2937
2024,信義區,其他,402,0.1895
2024,信義區,華廈,432,0.2037
2024,信義區,透天厝,41,0.0193
2024,內湖區,住宅大樓,706,0.2581
2024,內湖區,公寓,757,0.2768
2024,內湖區,其他,498,0.1821
2024,內湖區,華廈,656,0.2399
2024,內湖區,透天厝,118,0.0431
2024,北投區,住宅大樓,866,0.3376
2024,北投區,公寓,612,0.2386
2024,北投區,其他,430,0.1676
2024,北投區,華廈,596,0.2324
2024,北投區,透天厝,61,0.0238
2024,南港區,住宅大樓,451,0.3172
2024,南港區,公寓,317,0.2229
2024,南港區,其他,310,0.218
2024,南港區,華廈,326,0.2293
2024,南港區,透天厝,18,0.0127
2024,士林區,住宅大樓,688,0.276
2024,士林區,公寓,728,0.292
2024,士林區,其他,584,0.2343
2024,士林區,華廈,428,0.1717
2024,士林區,透天厝,65,0.0261
2024,大同區,住宅大樓,669,0.4493
2024,大同區,公寓,310,0.2082
2024,大同區,其他,200,0.1343
2024,大同區,華廈,212,0.1424
2024,大同區,透天厝,98,0.0658
2024,大安區,住宅大樓,1151,0.3991
2024,大安區,公寓,486,0.1685
2024,大安區,其他,472,0.1637
2024,大安區,華廈,758,0.2628
2024,大安區,透天厝,17,0.0059
2024,文山區,住宅大樓,818,0.3297
2024,文山區,公寓,723,0.2914
2024,文山區,其他,397,0.16
2024,文山區,華廈,495,0.1995
2024,文山區,透天厝,48,0.0193
2024,松山區,住宅大樓,740,0.4055
2024,松山區,公寓,417,0.2285
2024,松山區,其他,258,0.1414
2024,松山區,華廈,392,0.2148
2024,松山區,透天厝,18,0.0099
2024,萬華區,住宅大樓,1004,0.4672
2024,萬華區,公寓,554,0.2578
2024,萬華區,其他,270,0.1256
2024,萬華區,華廈,237,0.1103
2024,萬華區,透天厝,84,0.0391
2025,中山區,住宅大樓,1181,0.4726
2025,中山區,公寓,352,0.1409
2025,中山區,其他,255,0.102
2025,中山區,華廈,678,0.2713
2025,中山區,透天厝,33,0.0132
2025,中正區,住宅大樓,570,0.4597
2025,中正區,公寓,201,0.1621
